UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	55
0	145
19	0
0	0
71	0
0	347
0	0
0	0
0	16
0	1
0	0
0	0
0	0
0	5
66	0
0	155
0	48
0	67
0	0
0	189
0	0
0	128
21	73
0	24
0	10
0	189
0	0
0	67
24	203
0	11000
0	62
0	19
0	535
0	107
0	67
0	0
0	2053
0	4
0	434
0	375
0	0
0	0
16	0
82	0
3479	454
0	421
24	1
0	14
0	55
0	145
0	0
0	0
0	347
0	0
44	16
0	1
0	0
0	0
0	0
0	5
0	155
0	48
0	67
0	0
0	189
0	0
19	0
0	128
0	73
0	34
0	50
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	13
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
6	0
0	15
0	86
0	0
0	0
0	0
0	0
0	0
0	0
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
17	1
0	0
0	128
0	73
0	34
0	7
0	10
0	0
0	67
0	5
0	11000
0	62
0	19
0	535
0	107
0	67
0	0
0	2053
0	4
0	434
0	278
0	27
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	12
0	0
0	0
0	0
0	0
0	1
2	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
1	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	21
0	0
0	8
28	3
0	0
0	0
0	0
0	0
0	0
0	1
0	14
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	88
0	0
2	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
10	0
0	0
0	0
0	0
0	0
3	0
1	0
0	0
0	0
0	0
0	2
0	0
0	57
0	0
0	1
0	14
0	0
0	0
0	0
0	50
0	34
0	73
0	114
0	0
22	1
191	0
0	0
0	67
0	5
0	11000
0	62
0	19
0	535
0	107
0	67
0	0
0	2053
0	4
0	434
0	375
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	1
0	4
0	88
49	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	9
0	0
4	0
0	0
1	0
5	0
0	0
