UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	32
0	186
0	69
130	0
14	0
167	0
0	1007
18	2
0	2
0	31
0	2
0	18
0	72
0	13
0	54
97	0
0	290
0	91
0	204
0	0
0	136
0	5
0	118
21	184
24	70
0	74
0	136
0	0
0	204
39	385
0	5189
0	238
0	11
0	3855
0	46
0	138
0	10
0	1957
0	67
0	1296
0	911
0	2
0	0
65	21
175	2
7355	3561
0	3503
19	4
0	32
0	186
0	69
0	0
0	0
0	1007
0	2
125	31
0	2
0	18
0	72
0	13
0	54
0	290
0	91
0	204
0	0
0	136
3	50
47	0
0	118
0	184
0	177
0	172
0	0
0	0
0	0
0	11
0	0
0	0
0	0
0	4
0	0
0	1
0	0
0	0
0	12
0	0
0	0
0	26
0	11
0	2
0	12
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	13
0	40
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	2
0	12
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
23	0
0	0
0	118
0	184
0	177
0	75
0	74
0	0
0	204
0	54
0	5189
0	238
0	11
0	3855
0	51
0	138
0	71
0	1957
0	67
0	1296
0	758
0	58
0	2
0	21
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	0
0	0
0	0
0	0
3	2
20	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
2	0
0	17
0	0
0	3
14	26
0	0
5	0
0	0
1	0
0	0
0	5
0	0
0	0
0	0
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	53
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
4	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
0	0
0	32
0	4
0	5
0	0
0	2
0	0
0	1
0	145
0	177
0	184
0	97
0	0
59	0
97	42
0	0
0	204
0	54
0	5189
0	238
0	11
0	3855
0	51
0	138
0	71
0	1957
0	67
0	1296
0	911
0	2
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	7
0	53
63	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
25	10
0	0
3	0
0	0
