UniqueCount	AmbigCount
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	26
0	200
0	112
142	1
11	0
174	7
0	1657
11	0
0	0
0	71
0	0
0	7
0	29
0	21
0	39
81	0
0	145
0	93
0	345
0	0
0	258
0	10
0	210
26	147
3	103
0	88
0	258
0	0
0	345
22	237
0	10781
0	314
0	28
0	4115
0	79
0	220
0	13
0	2691
0	63
0	2492
0	1740
0	7
0	0
71	4
190	1
9014	3304
0	3210
38	11
0	26
0	200
0	112
0	0
0	7
0	1657
0	0
195	73
0	0
0	7
0	29
0	21
0	39
0	145
0	93
0	345
0	0
0	258
0	54
51	0
0	210
0	147
0	139
0	204
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	25
0	9
0	4
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	1
0	29
0	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	0
0	0
0	1
0	4
0	15
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
31	0
0	0
0	210
0	147
0	139
0	98
0	88
0	0
0	345
0	39
0	10781
0	314
0	28
0	4115
0	87
0	220
0	56
0	2691
0	63
0	2492
0	1299
0	79
0	1
0	4
0	0
0	0
0	4
0	0
0	0
0	0
0	0
2	2
0	0
0	0
0	0
0	0
4	0
54	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
2	0
0	0
0	1
0	0
0	0
0	0
0	0
0	9
0	0
1	0
0	17
0	0
0	3
30	25
0	1
1	0
0	0
1	4
0	0
0	7
0	14
0	0
0	0
0	28
0	0
0	0
0	0
0	0
0	0
0	0
0	32
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
1	0
0	0
2	0
6	0
0	0
0	0
0	0
2	10
0	0
0	60
0	5
0	7
0	14
0	0
0	0
0	2
0	176
0	139
0	147
0	182
0	0
35	0
222	46
0	0
0	345
0	39
0	10781
0	314
0	28
0	4115
0	87
0	220
0	56
0	2691
0	63
0	2492
0	1740
0	7
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	0
0	0
0	0
0	0
0	0
0	14
0	32
84	30
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	0
0	0
7	2
0	0
3	0
0	0
