GeneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Solyc04g014720.5	0.345775658566135	6.80164349878816	1.51176995096055	0.136431520679926	0.260783167132984	-5.51103218560096
Solyc04g014730.4	0.0791703281653378	1.23904025726771	0.154938542413852	0.877448301960051	0.926503433813962	-5.65947879923986
Solyc04g014740.3	-0.830665189244261	1.54762211367014	-1.42172475031902	0.160864771066621	0.29216089969216	-4.80360810938087
Solyc04g014760.3	-0.772836514826845	3.60262807986209	-3.21656217589238	0.00219521419600331	0.0137924887903974	-1.6927602193287
Solyc04g014770.1	-1.98468368481285	-0.343840218671588	-1.36892150645526	0.176699750113608	0.311420830779323	-4.53239667860685
Solyc04g014790.1	0.00188959228577601	-0.141979224085952	0.00229744500597542	0.998175384673072	0.998975974490743	-5.16682061455621
Solyc04g014800.3	-0.553832863259784	3.67056323597047	-1.67896292648336	0.098945996300373	0.207620203223552	-5.00712490988908
Solyc04g014810.3	-0.461785311729174	5.61215288765549	-2.63420724775732	0.0109842119479492	0.0429159134375971	-3.39527243459741
Solyc04g014820.4	0.188348369307386	4.45816316302025	1.25910631681324	0.213415614746907	0.355699025932134	-5.76128796319181
Solyc04g014830.3	1.45770533472728	1.44273282558822	3.38403381160501	0.00133750303297346	0.009703117933397	-1.04421102023759
Solyc04g014850.3	-0.178278988885451	-0.798336825724683	-0.170860636401621	0.86497290064543	0.917887389804996	-5.12005017677295
Solyc04g014855.1	1.32129485798091	-0.623341401758048	1.2238566991937	0.226327337911403	0.370875080104742	-4.60491353974204
Solyc04g014870.3	0.0878507081236188	4.65674220242308	0.450556560988251	0.654115717686731	0.765814967657631	-6.48161431939536
Solyc04g014883.2	3.75224070573575	-1.7030405147093	2.42905805752364	0.0185013947106296	0.0620833885470464	-3.50107998957155
Solyc04g014887.2	1.68839827721992	2.1272924062884	3.29774938339473	0.00172938064272861	0.0116392727400041	-1.25721561655011
Solyc04g014940.2	0.874079587274408	0.892684487752515	1.15317626531538	0.253924473116719	0.402260208491378	-4.8423926290265
Solyc04g014950.4	0.909317724610513	0.789931208578809	1.61228304458844	0.112738856028455	0.228158409462099	-4.34464356164138
