GeneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Solyc02g072510.3	-0.0779535589481251	4.05172333544048	-0.366827144340691	0.715183624886507	0.991852488531206	-6.01673072783966
Solyc02g072520.3	-0.220666969108095	3.42046871567747	-0.68732569509308	0.494823378057057	0.975863054405033	-5.70018016469415
Solyc02g072530.3	-0.166237328518093	5.2279311049535	-0.817978780439589	0.416969434250612	0.971890911055549	-5.93093611953533
Solyc02g072540.3	-0.873986676921509	4.49693071155293	-2.80874863046624	0.00691264816951111	0.366499307952532	-2.6467438510401
Solyc02g073580.1	-3.25662245982172	4.17544727699205	-3.53357362987401	0.000849860716867423	0.122663727805766	-0.643479475088159
Solyc02g076630.1	-0.694136847983608	0.102635488443313	-0.629689092608597	0.531557282139704	0.975863054405033	-4.85768419593155
Solyc02g076660.3	-0.693408330463714	2.43288967661488	-2.02545526925106	0.0477823490518117	0.706431459085908	-3.99892417356031
Solyc02g076670.3	-0.0153102575304755	1.63045072245429	-0.0344578689582178	0.972639283303141	0.999934951940185	-5.49888771438651
Solyc02g076680.3	-1.11197468633107	2.7677001916662	-2.30982994234924	0.0247544237101118	0.582071040932365	-3.47156967138096
Solyc02g076690.3	1.05465823102022	5.88306367737037	2.9468875031084	0.00473363418988042	0.302678819740759	-2.32450229644078
Solyc02g076710.3	-2.47237403099663	-0.523880487892302	-1.09997529158991	0.276229667096909	0.939113479088555	-4.58665501073107
Solyc02g076720.3	0.498440163690845	6.17267091039352	2.70980723007586	0.00900716253063945	0.403318327956887	-2.89986918816251
Solyc02g076730.4	0.662299747874625	4.96787141660315	2.56235172425362	0.0132230134359697	0.478612370440344	-3.19693923463301
Solyc02g076760.3	0.152789147480437	4.22079699366624	0.641702227726709	0.523785222680536	0.975863054405033	-5.90588832115538
Solyc02g076780.3	-0.513997741910168	3.61418698566521	-1.95686719608143	0.0555493722234805	0.737148964501259	-4.32053434982874
Solyc02g076790.4	0.0304258579046666	3.72236948285998	0.11517446153226	0.90873468539775	0.999934951940185	-5.99839770521343
Solyc02g076800.1	0.221092290934126	2.65794439560715	0.544379313408675	0.588424776330092	0.982903959464238	-5.69580423756537
Solyc02g076810.4	-0.342131848897037	4.45222330776547	-1.42072278809832	0.161154636991343	0.88307769435609	-5.08912204941222
Solyc02g076840.3	-0.327249547605301	4.6856240416762	-1.16961119065042	0.247301719229221	0.933374186753341	-5.53344208224356
Solyc02g076870.4	-0.268356439058399	5.08109548111726	-1.21415875347949	0.22997818553362	0.924701883516025	-5.54258129222676
Solyc02g076900.5	0.744401795551154	1.34874400355671	1.68308263518388	0.0981413269147905	0.8347961334602	-4.26879176833845
Solyc02g076930.2	-1.63301581623156	0.606947863271049	-1.61562793277823	0.112011636772416	0.85408905229542	-4.30643886743034
Solyc02g076950.2	-0.573677720587974	1.71089549966375	-1.08699620563698	0.281873840209249	0.939253040267785	-4.99384948045282
Solyc02g076945.2	-0.280511775445456	2.63029409452479	-0.844619031480771	0.402055641180658	0.967870444127486	-5.4987480319538
Solyc02g076980.5.1	1.19933267085804	1.96307507208175	0.963756834831172	0.339470363478871	0.951381001711043	-4.8607617983677
Solyc02g077030.3	-1.23799027699308	1.24013876345922	-1.38677206156434	0.171218049961082	0.891925477629159	-4.54006925872843
Solyc02g077040.4	2.8110742673898	2.88838904481148	1.56045659725861	0.12450267497598	0.860679638419564	-4.48274973984279
Solyc02g077050.3	-0.637796682459184	2.75688457067367	-1.13962121074235	0.259481478201433	0.937339530867288	-5.04222762246662
Solyc02g077070.3	0.862850903887095	0.341701592481876	0.834790347445552	0.407519272546509	0.968929506257085	-4.74485761490759
Solyc02g077080.3	-0.297079999432646	6.55629471049711	-1.0310053647986	0.307140836483906	0.945152908489434	-5.75883297267938
Solyc02g077090.5	0.0112864632069583	5.00075991766043	0.0449302132965254	0.964328920232858	0.999934951940185	-6.27032466012063
Solyc02g077100.3	0.411051866008865	5.8859454161557	1.98269438355578	0.0525060928097019	0.722702396830461	-4.41424796632994
Solyc02g077110.4	1.5253490112151	3.90808469988814	4.27149779231971	7.93296850084575e-05	0.0272747010746109	1.43995677073823
Solyc02g077130.2	-0.174055628847459	-0.288387796421015	-0.317010884052433	0.752459554394885	0.995347917944976	-5.26791732902523
Solyc02g077140.3	0.0170185972115622	4.06123532645841	0.0739318330570499	0.941338218804982	0.999934951940185	-6.2198151500433
Solyc02g077160.3	0.252216723067511	3.25009277167409	1.05307277597693	0.297003963281286	0.94208859783938	-5.48898995306167
Solyc02g077190.4	0.714917967075161	0.196844990775367	1.02429935833039	0.310267441548321	0.946019924621614	-4.7634435094427
Solyc02g077220.3	-0.27512153878349	2.08353611071181	-0.807553698419687	0.422895791162237	0.971890911055549	-5.36053273036098
Solyc02g077260.3	-1.15855742206298	1.10982514028784	-2.13878619739011	0.0369993698003769	0.666445806461901	-3.62390754982679
Solyc02g077270.5	-0.708521186100413	2.37915567037405	-0.982995693208413	0.329999897491612	0.951281309015106	-4.98233100371622
Solyc02g077300.2	-0.148182094168687	-0.561525855979452	-0.153397833397449	0.878657205047741	0.999934951940185	-5.02861481099658
Solyc02g077310.4	0.547153885061543	2.27687834743957	1.29109847828944	0.202177511622718	0.911914024096503	-4.74537280990403
Solyc02g077320.4	0.318491694518985	3.57461830749349	1.70415540460892	0.09410899290604	0.831850505179275	-4.69429417139805
Solyc02g077330.3	-0.144064870852254	5.15325320930413	-0.389633665048048	0.698342210056808	0.991293520378744	-6.1955380082896
Solyc02g077360.1	-1.91282832136854	-4.57316947944134	-0.756097197428772	0.453921859604966	0.971890911055549	-4.6317501579338
Solyc02g077370.1	1.35320103786845	-0.854618775774787	0.829115424796258	0.410694506014854	0.969711576408982	-4.73078892907947
Solyc02g077400.4	-0.0618909139528742	-0.454256471591061	-0.0618925838911751	0.950877228714699	0.999934951940185	-4.94298861555948
Solyc02g077410.3	0.169360399821705	6.80146653637006	0.933180626834915	0.35488678800527	0.952923879752703	-5.82627440767607
Solyc02g077420.3	1.49050274305551	5.25631421845754	2.31727670945265	0.0243146858415399	0.581966719815989	-3.73021885986886
Solyc02g077430.5	0.939943694443188	5.70455992230029	2.24616903550042	0.0288119214234685	0.616319200883784	-3.90611542337932
Solyc02g077440.3	0.0681858026966697	4.4319556676302	0.230268858617402	0.818754255905873	0.99928803391486	-6.12783031004383
