GeneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Solyc07g062540.3	0.597065156956069	3.69694256644064	2.12767200679731	0.037953361562864	0.129867105735306	-4.25583143551956
Solyc07g062543.2	-0.497626145594682	2.55022121989282	-0.960164805681076	0.34125822939584	0.547162644173239	-5.70354714740423
Solyc07g062570.3	-0.419780966078212	7.00270408162719	-3.04481383384816	0.00359670375227622	0.025932012377255	-2.37150179031237
Solyc07g062580.4	-0.25428620540532	5.45599901892995	-0.945335748266018	0.348704584674382	0.554897441876417	-6.23735705217157
Solyc07g062590.4	0.152045700555235	2.86496642896031	0.582517232541648	0.56264645753658	0.735152093941513	-6.02214559675017
Solyc07g062600.4	-0.0391115384490854	4.93985589716196	-0.213296168725825	0.831900393566131	0.90870613751837	-6.62869627388899
Solyc07g062610.4	-0.342502605671005	5.94358640789468	-1.79232508713467	0.0786918899970628	0.210391379957676	-5.12772828544043
Solyc07g062620.3	-0.692763545221567	4.76579678861778	-4.30186992874737	7.16525257900392e-05	0.00150857179438939	1.33461314269839
Solyc07g062640.3	-0.291096348809756	4.58278800632837	-1.31501326285405	0.194070736270714	0.381435381148547	-5.78654295518562
Solyc07g062650.4	-0.737063657293401	8.26499092733004	-3.71927157990876	0.000477362950671997	0.00606160267824137	-0.455828345597591
Solyc07g062660.4	-0.358144693148888	5.10580451486931	-2.28598707163181	0.0262103665642374	0.100931863001633	-4.17369953868942
Solyc07g062680.3	0.0894348676182153	5.01540028877032	0.406351778914659	0.686092457760041	0.819585622543577	-6.59130255041462
Solyc07g062685.3	-0.690277139971031	0.0947861564356166	-1.11563095577753	0.269527570709911	0.47160395821047	-4.90633426292719
Solyc07g062700.3	-0.461046293707957	7.64474513629198	-2.20960604224438	0.0313994456098089	0.114383694721447	-4.27442922176466
Solyc07g062730.1	-0.347107728797028	4.96432041216963	-1.30211859458526	0.19841085246804	0.386903348370636	-5.81946683792303
Solyc07g062740.5	-1.02840104157533	3.36252704911441	-3.10450906447249	0.00303469579655985	0.0230521108864491	-1.88216033036001
Solyc07g062750.4	-0.808386430892446	2.31240678327723	-1.50451049516937	0.138285455117889	0.305761761005701	-4.71591934745998
Solyc07g062770.2	-0.0605195685445885	4.63831036781713	-0.348705439418682	0.728668420238138	0.846608590537432	-6.54746684894674
Solyc07g062780.3	-0.623393877596531	2.40242208563682	-1.52191793475567	0.133873022784543	0.299331187129171	-4.80339062169908
Solyc07g062810.4	0.347741820977548	0.468181225086462	0.570190044791975	0.570917184203348	0.741198372527854	-5.29839856892767
Solyc07g062820.1	0.0504675369573264	2.2423621134849	0.178536921944513	0.85897045280807	0.923542012116459	-6.12704492787022
Solyc07g062860.3	1.2075944005144	3.83481462954661	5.05569709227412	5.27593044385197e-06	0.000230723341396209	3.87902945402124
Solyc07g062870.3	-1.12005741410514	7.58685277490217	-2.97671920135725	0.0043560133251991	0.0295296998941512	-2.55295636004699
Solyc07g062880.3	0.714815440601482	4.05618017563093	3.06783532543695	0.00336932273244806	0.0248281943241065	-2.21060169739045
Solyc07g062890.5	0.367741237674228	3.13964344133402	1.54105187426664	0.12915290583154	0.291739673961976	-5.25720691179362
Solyc07g062910.3	-0.00863493940093107	3.96922842968096	-0.0337501879612909	0.973200986461842	0.986108860091289	-6.51688780453078
Solyc07g062920.4	0.347403804536918	4.45593679777256	1.62326605317026	0.110365272371858	0.262985446140328	-5.33420221905165
Solyc07g062930.3	0.294211391755906	0.818620582024486	0.417726710991474	0.677805745664263	0.814065937965536	-5.34886384224472
Solyc07g062940.4	0.357030646894725	4.52083135905205	1.90561424491698	0.0620377110846036	0.180052696289429	-4.84222787872795
Solyc07g062950.4	0.357122584903108	4.39337205306992	1.70400537473902	0.0941372115348797	0.235998685815476	-5.14948750118647
Solyc07g062970.3	-0.255362693587674	4.98793954672057	-0.850952771125187	0.398558850299662	0.601297109312809	-6.30834114064241
Solyc07g063000.4	-0.218367945433539	4.29448328561939	-0.849230265035604	0.399507959073222	0.602108903291207	-6.20244478151126
Solyc07g063010.3	0.484540988850058	4.80485107827709	2.50270660410483	0.0153880818696837	0.0700434650668458	-3.69400067052824
Solyc07g063040.3	0.34383761144161	5.4158272023415	1.92378025473428	0.0596677740928414	0.175459815820222	-4.89241620795414
Solyc07g063050.1	-0.290699919073971	5.5794076639325	-1.64338938960896	0.106121710760498	0.256195029060266	-5.37002218747416
Solyc07g063070.1	-0.09897890203866	3.19392240373293	-0.385159777662268	0.701634244777793	0.829967045170783	-6.26019861260161
Solyc07g063080.4	-0.836174595870279	0.221528318115991	-0.632544022383022	0.529704816571459	0.709596697091898	-4.93713847270061
Solyc07g063110.4	-0.0571177430548135	3.67844797928482	-0.260572924283675	0.795414439527379	0.888556971926825	-6.42472593261131
Solyc07g063120.4	0.082093649775385	5.19398234513518	0.372243273205805	0.711170796970353	0.835854556162895	-6.5442621734631
Solyc07g063130.4	-0.0814622806141303	4.98244616843687	-0.364731720829211	0.716738312137088	0.839506402283288	-6.58969022353828
Solyc07g063140.1	-0.211732254657182	4.15571110900745	-0.802682353416543	0.425682307962722	0.62470564200551	-6.21241375380042
Solyc07g063150.3	-0.599929524747421	3.61183374398052	-2.36963164582224	0.0214147321670918	0.0878990223621617	-3.69659591309004
Solyc07g063160.2	-0.110575860171004	2.05786788951871	-0.250509970303527	0.803145090502786	0.893221005058547	-5.80968792356346
Solyc07g063170.1	1.66977099277382	1.08714098955405	2.1129028431815	0.0392543124000475	0.132765262954769	-3.67641861698651
Solyc07g063180.3	-1.1508685270004	-1.10059532832812	-0.744134805134821	0.460025636819556	0.653483594744356	-4.80581369402338
Solyc07g063190.4	0.42797840125642	8.21245280358097	2.18940086466889	0.0329155317217073	0.117897693355529	-4.27615335750552
Solyc07g063200.3	-0.395255282494216	3.68485968912043	-1.39342311250957	0.16920938901796	0.350278304629628	-5.46929141257534
Solyc07g063220.4	0.18472401016641	2.39415881390875	0.566909939319041	0.573127901851836	0.743017620110643	-5.81141921334632
Solyc07g063230.3	0.171786106947322	4.8675183371548	1.03384622264556	0.305822805799643	0.509849956012462	-6.14059301264042
Solyc07g063240.4	0.411658452498222	3.21967116780615	1.38822706785334	0.170777067378605	0.352146564958175	-5.34841849781844
Solyc07g063250.3	0.0880543755735141	2.88167430852198	0.241974712806779	0.809717710362338	0.895926128213046	-6.16954121470498
