GeneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Solyc04g080600.3	0.304093826709597	4.72344088298689	1.68554820745216	0.0976623221548227	0.999590804766031	-4.72854405062237
Solyc04g080610.3	-0.118507571726181	4.06956313950283	-0.487040978231735	0.628203416042414	0.999590804766031	-5.84024115068685
Solyc04g080620.3	-0.956193638826143	-1.1942215175858	-0.704842288900919	0.483941951769486	0.999590804766031	-4.68044520861209
Solyc04g080630.5	-0.309938395231324	7.14832265924309	-0.878373622653729	0.383638431111138	0.999590804766031	-5.74788908663503
Solyc04g080640.1	0.0192581791383515	1.76556510860599	0.0492526719283607	0.960899927078177	0.999590804766031	-5.42518975872369
Solyc04g080670.3	0.109730384043864	4.40410892991652	0.518079204461469	0.606522399882038	0.999590804766031	-5.8075012020996
Solyc04g080680.5	0.0188566693347423	3.29920453332973	0.0519266349109333	0.958779048519854	0.999590804766031	-5.70532249776862
Solyc04g080700.4	0.202058405574778	7.59964513551513	0.776403670994145	0.440903244243005	0.999590804766031	-5.8139691738147
Solyc04g080710.4	-0.325845718514925	3.75618249397425	-0.99899139115791	0.322261058022241	0.999590804766031	-5.3181461484748
Solyc04g080730.3	-0.0100605215190823	6.17260690835997	-0.057692606440385	0.954206755489383	0.999590804766031	-6.11765475955368
Solyc04g080740.1	0.0416231092039858	3.94361341517267	0.145698344330866	0.884702840620677	0.999590804766031	-5.81386768276629
Solyc04g080750.5	0.0356964722584923	2.48491834846875	0.0664671784402885	0.94725172952688	0.999590804766031	-5.22623583053653
Solyc04g080770.3	0.272142575692197	5.63417592193056	1.3100911263736	0.195718911320726	0.999590804766031	-5.28152034274515
Solyc04g080790.3	-0.0520611071157049	4.4193947562117	-0.196635706099052	0.844851909546258	0.999590804766031	-5.95647895231021
Solyc04g080800.4	0.0349897590508479	3.06724220729887	0.115915056307483	0.908150494517024	0.999590804766031	-5.59800929554893
Solyc04g080810.4	-0.265187844796091	4.21749571182058	-0.961391708532302	0.340646865624188	0.999590804766031	-5.46622773809274
Solyc04g080820.2	0.131667296383532	3.09758536429014	0.438354370802339	0.662880701159518	0.999590804766031	-5.72857699896922
Solyc04g080830.4	0.547760682127047	3.40173639209251	1.42703820334998	0.1593343613652	0.999590804766031	-4.780427525139
Solyc04g080840.3	-0.722336134820947	-0.60985076215367	-0.848217869846892	0.400210265837849	0.999590804766031	-4.8425732996772
Solyc04g080850.3	-0.170781192628341	7.39176994948309	-0.712400337483852	0.479288360118742	0.999590804766031	-5.88151168819246
Solyc04g080873.2	0.100357616206577	6.07250060232362	0.786788927153754	0.434849990472414	0.999590804766031	-5.82761788257654
Solyc04g080900.3	-0.145017292515601	4.44826915179006	-0.520965881149647	0.604523561232226	0.999590804766031	-5.76360795525103
Solyc04g080930.4	-0.0598087111053429	4.50498600017798	-0.277477600235401	0.782474510352895	0.999590804766031	-5.94513555176888
Solyc04g080940.4	-0.00813766031033048	3.83389763165154	-0.0127208113071669	0.989897485929204	0.999590804766031	-5.69253093513972
Solyc04g080950.3	-0.295110589629027	2.48062671788517	-0.700509474996768	0.486621044836873	0.999590804766031	-5.21115211900844
Solyc04g080960.4	0.408882843295608	9.84707433876891	1.74714790822674	0.0863053423834228	0.999590804766031	-4.56939776141004
Solyc04g080980.2	0.250822108118572	6.28530115390617	1.38020645838262	0.173218856978849	0.999590804766031	-5.22537307241986
Solyc04g081020.3	-0.0610076316312351	1.16305339770876	-0.123453531134991	0.902207007940026	0.999590804766031	-5.1979694247273
Solyc04g081030.3	0.196331490874552	4.60013097664858	0.953718429721	0.344482304487948	0.999590804766031	-5.57059260848041
Solyc04g081050.2	0.545960086586637	4.6926421925368	2.12928066580293	0.0378139638496666	0.999590804766031	-3.93481984118562
