GeneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Solyc05g052370.3	-2.54288453707227	2.09021903874997	-1.74001256634182	0.0875620324890477	0.187131601061601	-4.2312665232747
Solyc05g052410.3	3.07152139626806	0.213548844906796	1.84668168837076	0.0702842000242774	0.159577429488101	-4.05175860695817
Solyc05g052450.3	-2.66714942212098	-0.99132458369788	-2.0753882366596	0.0427351597662799	0.11218428966977	-3.83308621153875
Solyc05g052460.3	0.413940313301616	3.09571603898861	1.16338143449224	0.249797333976681	0.394453446388386	-5.53302724141402
Solyc05g052470.3	0.977119764836031	4.5642890255961	2.51850602765966	0.0147853333993186	0.0523330342728906	-3.53777949075682
Solyc05g052490.3	-0.300620022428117	4.49168361144576	-1.53976087434355	0.129467143592694	0.247546892085447	-5.38564621900708
Solyc05g052500.5	-0.630828994904142	3.67149506553881	-2.25019216020576	0.0285390618499737	0.0838001418314783	-3.93180989033752
Solyc05g052510.4	-0.135939940229081	7.34168872817129	-0.951706781886727	0.345492482705102	0.494613951261388	-6.24431531425173
Solyc05g052520.3	1.66590931083266	4.81368331383396	3.04115291033326	0.00363415800463384	0.0187902031416385	-2.27048000047859
Solyc05g052550.1	2.05883979461222	5.83964295103966	5.86709590465501	2.79556079488532e-07	1.59041068078628e-05	6.62108259823043
Solyc05g052560.1	2.2472047527764	4.71074127510232	4.44255502394466	4.45509918328896e-05	0.000693151217070819	1.87868777028697
Solyc05g052570.3	2.08005656878956	5.94942063468348	4.89627295852766	9.2684072068432e-06	0.000213378570344999	3.2480258424801
Solyc05g052580.3	-0.266997684645916	4.69961082806786	-1.7109722244758	0.0928341764712359	0.19512378225852	-5.14685615322103
Solyc05g052590.1	-0.68580726304618	4.36218300068132	-3.52184939722543	0.000880940578958985	0.00650693165602814	-0.940733169521472
Solyc05g052600.4	-2.69643975006687	9.89424819619254	-7.1613362534258	2.27060328866883e-09	6.24983555206096e-07	11.2837094977503
Solyc05g052610.3	1.60206890849781	2.85033071333835	3.32894845575147	0.00157658033011486	0.0101023122351112	-1.20971172086499
Solyc05g052630.4	1.15147429304962	7.54746860457403	7.70846617734678	2.94596187273776e-10	1.37848920930082e-07	13.2540740961022
Solyc05g052640.3	1.26602971823156	3.76448326998789	4.52298483744713	3.38631368109694e-05	0.000565907439009746	2.14276647477721
Solyc05g052670.1	-3.64884148517635	-0.253081004860036	-1.85597333962486	0.0691368431140315	0.157837192593186	-4.06402678247489
Solyc05g052680.1	0.425285782048077	-2.14819240130264	0.211300310384236	0.833530730811261	0.893692770154916	-4.8500031188905
Solyc05g052690.5	0.375988197277614	4.43771682280143	1.86432806701974	0.0677230364210075	0.155664014821564	-4.83969158139897
Solyc05g052700.5	-0.0359892927912244	3.85310432089885	-0.160934948551103	0.872746100027273	0.920396030775888	-6.42768874176641
Solyc05g052710.3	-1.57634754041364	6.71743730561967	-3.94056429406708	0.000235699159573972	0.00241070009275739	0.15494394606633
Solyc05g052720.1	-0.270715370342697	4.13756021639193	-0.9471958780448	0.347764747863506	0.496605315620566	-5.99970781965565
Solyc05g052715.1	0.141098482598871	5.24895214598381	0.604722538263989	0.547899828221224	0.678827105634253	-6.48331055822191
Solyc05g052750.3	-0.695560733411394	3.12187003705792	-1.97127980490385	0.0538329732163611	0.132177851199086	-4.34117898389596
Solyc05g052760.4	0.0476732218259093	6.62228995953196	0.321553559453897	0.749034145165538	0.833759862923781	-6.66663134955474
Solyc05g052780.4	-0.238392275616478	6.17343417159855	-1.28685062590318	0.203643641962661	0.34050366684073	-5.89505925203949
Solyc05g052790.3	-0.825569183382721	4.704022261292	-4.7339104373484	1.63546619785672e-05	0.000329449840867481	2.77374212148932
Solyc05g052800.3	-0.323621023823249	6.37838004800163	-1.27433359768314	0.208010092011424	0.345643190001581	-5.90858052843928
Solyc05g052810.4	-0.36170948971675	5.06703336729331	-1.15338061997503	0.253841352755262	0.399336430980588	-5.98079014832516
Solyc05g052820.3	-0.189147779570257	1.77052953044603	-0.382367841795839	0.70369156983087	0.800056106771212	-5.72102525062531
Solyc05g052830.3	0.156954699701104	1.13013508053598	0.241414925535977	0.810149265587825	0.876506578266319	-5.49227844983819
Solyc05g052840.1	-0.444148270673572	2.60210639750891	-1.15032535409012	0.255086100147454	0.400574422053855	-5.49103626725658
Solyc05g052850.3	-0.602959473310456	1.63892893654018	-1.22984076423763	0.224095911736789	0.365016376292531	-5.00228617272862
Solyc05g052860.3	-3.03220688928986	-0.83314249668441	-1.9027342621786	0.0624206925424792	0.146959509725482	-4.05193996364833
Solyc05g052880.4	-0.974503579253608	0.239079787123448	-0.995858376636674	0.323767170709796	0.473064022964501	-5.0224251624531
Solyc05g052890.3	-0.0458836240758334	1.0383455192494	-0.0514911904407916	0.959124405306993	0.974695535979201	-5.4173910489681
Solyc05g052910.5	0.515458751728911	3.17868684722632	1.57910245665019	0.120161718624318	0.234867189704413	-4.96797047764009
Solyc05g052920.5	0.21196949634331	5.86464452367731	1.30225168911489	0.198365685519492	0.334302017680556	-5.87543257126465
Solyc05g052930.3	-1.17149980917654	3.04345599590238	-4.08142444848889	0.000148964574010046	0.00170390676029078	0.863004687924424
Solyc05g052940.3	0.630420296606325	1.00247429005515	1.04570261441046	0.300363636196873	0.449464836800197	-4.93080789431322
Solyc05g052950.5	-1.52562893987884	1.68598885947805	-3.60004338138705	0.000692495662054474	0.00544369647487341	-0.4966737756722
Solyc05g052960.4	-0.0752085667863653	4.43257282977983	-0.420710314139672	0.675638737236303	0.779321773481552	-6.45066101925802
Solyc05g052970.4	-0.120125374273668	5.0463699132341	-0.729059934960693	0.46912004104877	0.611121472168984	-6.37199030820268
Solyc05g053000.1	-0.80916720236924	1.87334913665902	-1.55121540537634	0.126700259582943	0.243850772093979	-4.63408067137417
Solyc05g053010.1	0.267005131925432	3.05763199687387	0.489753178300932	0.626295288320353	0.742203932600484	-5.9703292497604
Solyc05g053040.3	0.602861288381019	4.44698843251529	3.50954363499328	0.000914725443052776	0.00670356934910681	-1.01604881458802
Solyc05g053080.2	-0.743117855193561	7.13436435439229	-2.95501168268695	0.00462788411796189	0.0223579379389313	-2.64335036279944
Solyc05g053090.2	0.715447105851607	2.54015103588575	2.05744048999664	0.0444933092513479	0.115392408578835	-4.14718646953529
